Kommentar >4. Zündung, 22.04.2016 Name 10 0< Sondennamen 


DatumZeit:22.04.2016 13:12:614
Dateiname:./messdaten/tank8_013.dat

"Section HEADER"
Zeit [s]:	Spannung TW [V]:	Strom TW [A]:	Spannung SP [V]:	Strom SP [A]:	Tankdruck [mV]:	
Gas K [mg/s]:	Gas A [mg/s]:	Schub [mV]:	TWasser AN [C]:	TWasser KA [C]:	TWasser GH [C]:	
TWasser SP [C]:	TWasser ST [C]:	TSchlauch AN [C]:	TSchlauch SP [C]:	T Kraftsensor [C]:	Tankdruck PF [Pa]:	
Leistung TW [kW]:	Leistung SP [kW]:	Schub [mN]:	Fremdfeld [mT]:	
EndSection


Section "Data"
3.08	79.35	335.315	36.301	472.362	5381.188	19.974	59.834	11.266	24.52	23.46	23.63	20.78	23.87	24.44	24.93	21.68	0.434	26.607	17.147	25	100.582	
3.15	79.35	335.315	36.301	472.362	5381.188	19.974	59.834	10.969	24.42	23.53	23.44	21.17	23.77	24.66	24.82	21.74	0.434	26.607	17.147	24	100.582	
3.21	79.35	335.315	36.301	472.362	5381.188	19.974	59.834	10.969	24.42	23.53	23.44	21.17	23.77	24.66	24.82	21.74	0.434	26.607	17.147	24	100.582	
3.32	79.64	334.352	33.673	471.708	5381.188	19.974	59.860	10.969	24.42	23.53	23.44	21.17	23.77	24.66	24.82	21.74	0.434	26.629	15.884	24	100.443	
3.40	79.64	334.352	33.673	471.708	5381.188	19.974	59.860	11.304	24.25	23.69	24.25	23.20	23.28	23.69	24.90	22.47	0.434	26.629	15.884	25	100.443	
3.43	79.64	334.352	35.652	472.362	5382.500	19.974	59.860	11.304	24.25	23.69	24.25	23.20	23.28	23.69	24.90	22.47	0.436	26.629	16.841	25	100.582	
3.53	79.58	335.128	35.652	472.362	5382.500	19.974	59.860	9.879	24.25	23.69	24.25	23.20	23.28	23.69	24.90	22.47	0.436	26.669	16.841	22	100.582	
3.57	79.58	335.128	35.652	472.362	5382.500	19.974	59.860	9.879	24.25	23.12	23.69	22.79	24.42	23.93	24.74	20.93	0.436	26.669	16.841	22	100.582	
3.65	79.77	336.091	37.339	473.001	5382.500	19.987	59.860	9.879	24.25	23.12	23.69	22.79	24.42	23.93	24.74	20.93	0.436	26.811	17.662	22	100.718	
3.71	79.77	336.091	37.339	473.001	5382.500	19.987	59.860	9.032	24.25	22.87	23.85	22.79	24.50	23.85	24.74	21.01	0.436	26.811	17.662	20	100.718	
3.79	79.71	334.735	33.350	470.088	5382.500	19.974	59.860	9.032	24.25	22.87	23.85	22.79	24.50	23.85	24.74	21.01	0.436	26.682	15.677	20	100.099	
3.87	79.71	334.735	33.350	470.088	5382.500	19.974	59.860	9.032	24.25	22.87	23.85	22.79	24.50	23.85	24.74	21.01	0.436	26.682	15.677	20	100.099	
3.95	79.58	336.287	35.587	472.362	5382.500	19.987	59.860	9.032	23.85	23.61	24.09	25.39	23.69	23.53	24.58	21.82	0.436	26.761	16.810	20	100.582	
